"Gene","HR","p.value"
"VDAC2",1.557,0.00045291148380787
"ZNF470",0.741,0.000454941969037796
"RPS6KA1",0.633,0.000456041070342117
"MTHFD1",1.566,0.000456508674534425
"GJB2",1.143,0.000456996779633491
"GPR55",0.807,0.000457638998846821
"P2RY13",0.832,0.000457711354546489
"TP53INP1",0.73,0.000459105376656164
"ECHDC2",0.776,0.000460511405558885
"ZNF396",0.727,0.00046111747908784
"IL1R2",1.151,0.000463779854510058
"PDK2",0.697,0.000465914132606211
"POLR3G",1.282,0.000468208917686182
"ACAP1",0.823,0.000468927933077346
"B3GNT5",1.329,0.000469734962377629
"SEMA4A",0.757,0.000472129154899696
"KIAA0101",1.233,0.000474066994841387
"SENP7",0.659,0.000474281790582977
"IMPG1",0.775,0.000477000326643837
"HDAC5",0.626,0.000477963134720602
"DUSP26",0.831,0.000480550683567235
"ZNF750",0.892,0.000480837412757658
"RPL13AP17",0.878,0.000483066845469145
"CXorf21",0.809,0.000484631848439421
"TTC16",0.839,0.000486453053526846
"GPR115",1.108,0.000486548251119641
"DOK1",0.707,0.00048750648091221
"FAM40B",1.153,0.000489538041276158
"CC2D2B",0.753,0.000490845409368053
"FEN1",1.386,0.000491322507637965
"BIRC5",1.193,0.000492405999545794
"POU6F1",0.7,0.00049320793872897
"C17orf88",0.627,0.000493425225197076
"AURKA",1.24,0.000499712548286481
"PLA2G4F",0.872,0.000500338141497162
"CTSL2",1.146,0.000502821868991643
"NBPF1",0.691,0.000503635698855568
"HSPD1",1.478,0.000505873567979542
"GNA14",0.834,0.000506033998654855
"SLC18A2",0.87,0.000509726775471699
"GPR37",1.147,0.000509900948958457
"SLC24A4",0.805,0.000510034856050094
"RAD51",1.246,0.000512159566828209
"FJX1",1.269,0.000512338858343096
"ZNF287",0.774,0.000515145275249321
"LOC113230",0.786,0.000518662816629365
"SPAG5",1.232,0.000519250974705616
"KAL1",0.848,0.000520367334203147
"SLAMF1",0.828,0.000520747904795768
"CES8",0.839,0.000523480334075071
"TRPA1",1.149,0.00052422589190019
"OGT",0.725,0.000524800074347793
"NCAPD2",1.358,0.000525739442099175
"KREMEN2",1.159,0.000529618019734647
"UCA1",1.098,0.000539404446347503
"GPC4",0.827,0.000546941146126484
"HSF2BP",1.253,0.000547661124095206
"PTGES3",1.553,0.000553495839856775
"TDRD10",0.879,0.000559661883591685
"ATP13A4",0.909,0.000563170249655082
"INTS7",1.572,0.000563508183534034
"DSC1",1.319,0.000565018433916083
"FCHSD2",0.607,0.000565114613499993
"PCMTD2",0.601,0.000567099743153132
"LRFN4",1.261,0.000568986013673475
"TREML1",0.791,0.000572263083243608
"YKT6",1.582,0.000572750617047176
"NR0B2",0.902,0.000572924439435784
"BCAN",1.142,0.000577436207545566
"LOC284440",0.746,0.000577795396477978
"HPSE2",0.823,0.000578319554708494
"PRRT3",0.78,0.000578362084963802
"MRPS17",1.396,0.000579578771395354
"LOC100270804",0.8,0.000580869140140112
"PANX1",1.559,0.00058311082512652
"TH",1.165,0.000583266249877048
"GGT6",0.91,0.000587461122106649
"GRAP2",0.82,0.000589882070422331
"NR3C2",0.844,0.00059060580475111
"CYP2B7P1",0.911,0.000591811446254053
"EPN1",1.659,0.000592078545343744
"NEDD1",1.621,0.000592797038591793
"VSIG2",0.91,0.000593064922194158
"BMS1P4",0.804,0.000594899127180247
